acronym;title;ranksys;rank;field
AAAI;National Conference of the American Association for Artificial Intelligence;CORE2020;A*;Artificial intelligence
AAMAS;International Joint Conference on Autonomous Agents and Multiagent Systems;CORE2020;A*;Artificial intelligence
ACL;Association of Computational Linguistics;CORE2020;A*;Artificial intelligence
ACMMM;ACM Multimedia;CORE2020;A*;Computer vision and multimedia computation
ASPLOS;Architectural Support for Programming Languages and Operating Systems;CORE2020;A*;Software engineering
CAV;Computer Aided Verification;CORE2020;A*;Software engineering
CCS;ACM Conference on Computer and Communications Security;CORE2020;A*;Cybersecurity and privacy
CHI;International Conference on Human Factors in Computing Systems;CORE2020;A*;Human-centred computing
COLT;Conference on Learning Theory;CORE2020;A*;Machine learning
CRYPTO;Advances in Cryptology;CORE2020;A*;Cybersecurity and privacy
CVPR;IEEE Conference on Computer Vision and Pattern Recognition;CORE2020;A*;Computer vision and multimedia computation
DCC;Data Compression Conference;CORE2020;A*;Data management and data science
EC;ACM Conference on Economics and Computation;CORE2020;A*;Artificial intelligence
ESEC/FSE;European Software Engineering Conference and the ACM SIGSOFT Symposium on the Foundations of Software Engineering;CORE2020;A*;Software engineering
EuroCrypt;International Conference on the Theory and Application of Cryptographic Techniques;CORE2020;A*;Cybersecurity and privacy
FOCS;IEEE Symposium on Foundations of Computer Science;CORE2020;A*;Theory of computation
FOGA;Foundations of Genetic Algorithms;CORE2020;A*;Artificial intelligence
HPCA;International Symposium on High Performance Computer Architecture;CORE2020;A*;Distributed computing and systems software
ICAPS;International Conference on Automated Planning and Scheduling;CORE2020;A*;Artificial intelligence
ICCV;IEEE International Conference on Computer Vision;CORE2020;A*;Computer vision and multimedia computation
ICDE;International Conference on Data Engineering;CORE2020;A*;Data management and data science
ICDM;IEEE International Conference on Data Mining;CORE2020;A*;Data management and data science
ICFP;International Conference on Functional Programming;CORE2020;A*;Software engineering
ICML;International Conference on Machine Learning;CORE2020;A*;Machine learning
ICSE;International Conference on Software Engineering;CORE2020;A*;Software engineering
IEEE InfoVis;IEEE Information Visualization Conference;CORE2020;A*;Human-centred computing
IJCAI;International Joint Conference on Artificial Intelligence;CORE2020;A*;Artificial intelligence
IJCAR;International Joint Conference on Automated Reasoning;CORE2020;A*;Artificial intelligence
INFOCOM;IEEE International Conference on Computer Communications;CORE2020;A*;Distributed computing and systems software
IPSN;Information Processing in Sensor Networks;CORE2020;A*;Distributed computing and systems software
ISCA;ACM International Symposium on Computer Architecture;CORE2020;A*;Software engineering
ISMAR;IEEE/ACM International Symposium on Mixed and Augmented Reality;CORE2020;A*;Graphics, augmented reality and games
ISSAC;International Symposium on Symbolic and Algebraic Computation;CORE2020;A*;Theory of computation
ISWC;IEEE International Symposium on Wearable Computers;CORE2020;A*;Human-centred computing
KDD;ACM International Conference on Knowledge Discovery and Data Mining;CORE2020;A*;Data management and data science
KR;International Conference on the Principles of Knowledge Representation and Reasoning;CORE2020;A*;Artificial intelligence
LICS;IEEE Symposium on Logic in Computer Science;CORE2020;A*;Theory of computation
MOBICOM;ACM International Conference on Mobile Computing and Networking;CORE2020;A*;Distributed computing and systems software
NDSS;Usenix Network and Distributed System Security Symposium;CORE2020;A*;Cybersecurity and privacy
NeurIPS;Advances in Neural Information Processing Systems;CORE2020;A*;Machine learning
OOPSLA;ACM Conference on Object Oriented Programming Systems Languages and Applications;CORE2020;A*;Software engineering
OSDI;Usenix Symposium on Operating Systems Design and Implementation;CORE2020;A*;Distributed computing and systems software
PERCOM;IEEE International Conference on Pervasive Computing and Communications;CORE2020;A*;Human-centred computing
PLDI;ACM-SIGPLAN Conference on Programming Language Design and Implementation;CORE2020;A*;Software engineering
PODC;ACM Symposium on Principles of Distributed Computing;CORE2020;A*;Distributed computing and systems software
PODS;ACM SIGMOD-SIGACT-SIGART Conference on Principles of Database Systems;CORE2020;A*;Data management and data science
POPL;ACM-SIGACT Symposium on Principles of Programming Languages;CORE2020;A*;Software engineering
RTSS;Real Time Systems Symposium;CORE2020;A*;Distributed computing and systems software
SENSYS;ACM Conference on Embedded Networked Sensor Systems;CORE2020;A*;Distributed computing and systems software
SIGCOMM;ACM Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication;CORE2020;A*;Distributed computing and systems software
SIGGRAPH;ACM SIG International Conference on Computer Graphics and Interactive Techniques;CORE2020;A*;Graphics, augmented reality and games
SIGIR;ACM International Conference on Research and Development in Information Retrieval;CORE2020;A*;Data management and data science
SIGMETRICS;Measurement and Modeling of Computer Systems;CORE2020;A*;Software engineering
SIGMOD;ACM Special Interest Group on Management of Data Conference;CORE2020;A*;Data management and data science
SODA;ACM/SIAM Symposium on Discrete Algorithms;CORE2020;A*;Theory of computation
SOSP;ACM SIGOPS Symposium on Operating Systems Principles;CORE2020;A*;Distributed computing and systems software
SP;IEEE Symposium on Security and Privacy;CORE2020;A*;Cybersecurity and privacy
STOC;ACM Symposium on Theory of Computing;CORE2020;A*;Theory of computation
UAI;Conference in Uncertainty in Artificial Intelligence;CORE2020;A*;Artificial intelligence
USENIX-Security;Usenix Security Symposium;CORE2020;A*;Cybersecurity and privacy
VLDB;International Conference on Very Large Databases;CORE2020;A*;Data management and data science
WSDM;ACM International Conference on Web Search and Data Mining;CORE2020;A*;Data management and data science
WWW;International World Wide Web Conference;CORE2020;A*;Distributed computing and systems software
AIED;International Conference on Artificial Intelligence in Education;CORE2020;A;Applied computing
AISTATS;International Conference on Artificial Intelligence and Statistics;CORE2020;A;Machine learning
ALENEX;Workshop on Algorithm Engineering and Experiments;CORE2020;A;Theory of computation
ALIFE;International Conference on the Simulation and Synthesis of Living Systems;CORE2020;A;Artificial intelligence
APPROX;International Workshop on Approximation Algorithms for Combinatorial Optimization Problems;CORE2020;A;Theory of computation
ASE;Automated Software Engineering Conference;CORE2020;A;Software engineering
ASIACRYPT;International Conference on the Theory and Application of Cryptology and Information Security;CORE2020;A;Cybersecurity and privacy
ATVA;International Symposium on Automated Technology for Verification and Analysis;CORE2020;A;Software engineering
AiML;Advances in Modal Logic;CORE2020;A;Theory of computation
BPM;International Conference in Business Process Management;CORE2020;A;Software engineering
CADE;International Conference on Automated Deduction;CORE2020;A;Artificial intelligence
CASES;International Conference on Compilers, Architecture, and Synthesis for Embedded Systems;CORE2020;A;Distributed computing and systems software
CC;International Conference on Compiler Construction;CORE2020;A;Distributed computing and systems software
CCC;IEEE Conference on Computational Complexity;CORE2020;A;Theory of computation
CCGRID;IEEE International Symposium on Cluster, Cloud and Grid Computing;CORE2020;A;Distributed computing and systems software
CGO;International Symposium on Code Generation and Optimization;CORE2020;A;Software engineering
CHES;Workshop on Cryptographic Hardware and Embedded Systems;CORE2020;A;Cybersecurity and privacy
CIDR;Conference on Innovative Data Systems Research;CORE2020;A;Data management and data science
CIKM;ACM International Conference on Information and Knowledge Management;CORE2020;A;Data management and data science
CLUSTER;IEEE International Conference on Cluster Computing;CORE2020;A;Distributed computing and systems software
COLING;International Conference on Computational Linguistics;CORE2020;A;Artificial intelligence
CONCUR;International Conference on Concurrency Theory;CORE2020;A;Distributed computing and systems software
CP;International Conference on Principles and Practice of Constraint Programming;CORE2020;A;Artificial intelligence
CSCL;Computer Supported Collaborative Learning;CORE2020;A;Human-centred computing
CSCW;ACM Conference on Computer Supported Cooperative Work;CORE2020;A;Human-centred computing
CSF;IEEE Computer Security Foundations Symposium;CORE2020;A;Cybersecurity and privacy
CaiSE;International Conference on Advanced Information Systems Engineering;CORE2020;A;Data management and data science
CoNEXT;ACM International Conference on Emerging Networking Experiments and Technologies;CORE2020;A;Distributed computing and systems software
CoNLL;Conference on Computational Natural Language Learning;CORE2020;A;Machine learning
CogSci;Annual Conference of the Cognitive Science Society;CORE2020;A;Artificial intelligence
CoopIS;International Conference on Cooperative Information Systems;CORE2020;A;Human-centred computing
DAC;Design Automation Conference;CORE2018;A;Distributed computing and systems software
DISC;International Symposium on Distributed Computing;CORE2020;A;Distributed computing and systems software
DSN;IEEE/IFIP International Conference on Dependable Systems and Networks;CORE2020;A;Distributed computing and systems software
EACL;European Association of Computational Linguistics;CORE2020;A;Artificial intelligence
EASE;International Conference on Evaluation and Assessment in Software Engineering;CORE2020;A;Software engineering
ECAI;European Conference on Artificial Intelligence;CORE2020;A;Artificial intelligence
ECCV;European Conference on Computer Vision;CORE2020;A;Computer vision and multimedia computation
ECIR;European Conference on Information Retrieval;CORE2020;A;Data management and data science
ECML PKDD;European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database;CORE2020;A;Machine learning
ECOOP;European Conference on Object-Oriented Programming;CORE2020;A;Software engineering
ECRTS;Euromicro Conference on Real-Time Systems;CORE2020;A;Distributed computing and systems software
ECSA;European Conference on Software Architecture;CORE2020;A;Software engineering
EDBT;Extending Database Technology;CORE2020;A;Data management and data science
EMNLP;Empirical Methods in Natural Language Processing;CORE2020;A;Artificial intelligence
EMSOFT;ACM Conference on Embedded Software;CORE2020;A;Distributed computing and systems software
ER;International Conference on Conceptual Modelling;CORE2020;A;Data management and data science
ESA;European Symposium on Algorithms;CORE2020;A;Theory of computation
ESEM;International Symposium on Empirical Software Engineering and Measurement;CORE2020;A;Software engineering
ESOP;European Symposium on Programming;CORE2020;A;Software engineering
ESORICS;European Symposium On Research In Computer Security;CORE2020;A;Cybersecurity and privacy
ESWC;Extended Semantic Web Conference;CORE2020;A;Data management and data science
EWSN;International Conference on Embedded Wireless Systems and Networks (wasEuropean Conference on Wireless Sensor Networks);CORE2020;A;Distributed computing and systems software
Euro-Par;International European Conference on Parallel and Distributed Computing;CORE2020;A;Distributed computing and systems software
EuroSys;Eurosys Conference;CORE2020;A;Distributed computing and systems software
FAST;Conference on File and Storage Technologies;CORE2020;A;Data management and data science
FCCM;IEEE Symposium on Field Programmable Custom Computing Machines;CORE2020;A;Distributed computing and systems software
FCT;International Symposium on Fundamentals of Computation Theory;CORE2020;A;Theory of computation
FM;International Symposium on Formal Methods;CORE2020;A;Software engineering
FOIS;International Conference on Formal Ontology in Information Systems;CORE2020;A;Artificial intelligence
FOSSACS;Foundations of Software Science and Computational Structures;CORE2020;A;Theory of computation
FUZZ-IEEE;IEEE International Conference on Fuzzy Systems;CORE2020;A;Artificial intelligence
GD;Graph Drawing;CORE2020;A;Theory of computation
GECCO;Genetic and Evolutionary Computations;CORE2020;A;Artificial intelligence
HOTCHIPS (HCS);Symposium on High Performance Chips;CORE2020;A;Distributed computing and systems software
HPDC;ACM International Symposium on High Performance Distributed Computing;CORE2020;A;Distributed computing and systems software
HotOS;USENIX Workshop on Hot Topics in Operating Systems;CORE2020;A;Distributed computing and systems software
ICALP;International Colloquium on Automata Languages and Programming;CORE2020;A;Theory of computation
ICARCV;International Conference on Control, Automation, Robotics and Vision;CORE2020;A;Artificial intelligence
ICCAD;IEEE/ACM International Conference on Computer-Aided Design;CORE2020;A;Distributed computing and systems software
ICCCN;International Conference on Computer Communication and Networks;CORE2020;A;Distributed computing and systems software
ICCS;International Conference on Computational Science;CORE2020;A;Applied computing
ICDAR;IEEE International Conference on Document Analysis and Recognition;CORE2020;A;Data management and data science
ICDCS;International Conference on Distributed Computing Systems;CORE2020;A;Distributed computing and systems software
ICDT;International Conference on Database Theory;CORE2020;A;Data management and data science
ICECCS;IEEE International Conference on Engineering of Complex Computer Systems;CORE2020;A;Software engineering
ICLP;International Conference on Logic Programming;CORE2020;A;Theory of computation
ICNP;International Conference on Network Protocols;CORE2020;A;Distributed computing and systems software
ICONIP;International Conference on Neural Information Processing;CORE2020;A;Machine learning
ICPP;International Conference on Parallel Processing;CORE2020;A;Distributed computing and systems software
ICS;ACM International Conference on Supercomputing;CORE2020;A;Distributed computing and systems software
ICSME;IEEE International Conference on Software Maintenance and Evolution;CORE2020;A;Software engineering
ICSOC;International Conference on Service Oriented Computing;CORE2020;A;Distributed computing and systems software
ICSSP;International Conference on Software and System Processes;CORE2020;A;Software engineering
ICST;International Conference on Software Testing, Verification and Validation;CORE2020;A;Software engineering
ICWS;IEEE International Conference on Web Services;CORE2020;A;Distributed computing and systems software
IDA;Intelligent Data Analysis;CORE2020;A;Data management and data science
IEEE Alife;IEEE International Symposium on Artificial Life;CORE2020;A;Artificial intelligence
IEEE VIS;IEEE Visualization;CORE2020;A;Human-centred computing
IJCNN;IEEE International Joint Conference on Neural Networks;CORE2020;A;Machine learning
IMC;Internet Measurement Conference;CORE2020;A;Distributed computing and systems software
IPCO;Conference on Integer Programming and Combinatorial Optimization;CORE2020;A;Theory of computation
IPDPS;IEEE International Parallel and Distributed Processing Symposium;CORE2020;A;Distributed computing and systems software
IROS;IEEE/RSJ International Conference on Intelligent Robots and Systems;CORE2020;A;Artificial intelligence
ISAAC;International Symposium on Algorithms and Computation;CORE2020;A;Theory of computation
ISMB;Intelligent Systems in Molecular Biology;CORE2020;A;Applied computing
ISMM;International Symposium on Memory Management;CORE2020;A;Distributed computing and systems software
ISRR;International Symposium on Robotics Research;CORE2020;A;Artificial intelligence
ISS;ACM International Conference on Interactive Surfaces and Spaces;CORE2020;A;Human-centred computing
ISSRE;International Symposium on Software Reliability Engineering;CORE2020;A;Software engineering
ISSTA;International Symposium on Software Testing and Analysis;CORE2020;A;Software engineering
ISWC;International Semantic Web Conference;CORE2020;A;Data management and data science
ITCS;Innovations in Theoretical Computer Science;CORE2020;A;Theory of computation
ITP;Conference on Interactive Theorem Proving;CORE2020;A;Theory of computation
ITS;International Conference on Intelligent Tutoring Systems;CORE2020;A;Applied computing
ITiCSE;Annual Conference on Innovation and Technology in Computer Science Education;CORE2020;A;Applied computing
IUI;International Conference on Intelligent User Interfaces;CORE2020;A;Human-centred computing
Interact;IFIP TC13 Conference on Human-Computer Interaction;CORE2020;A;Human-centred computing
Interspeech;Interspeech (combined EuroSpeech and ICSLP in 2000);CORE2020;A;Artificial intelligence
JELIA;Logics in Artificial Intelligence, European Conference;CORE2020;A;Theory of computation
K-CAP;Knowledge capture;CORE2020;A;Data management and data science
LCN;IEEE Conference on Local Computer Networks;CORE2020;A;Distributed computing and systems software
LCTES;ACM SIGPLAN Conference on Languages, Tools, and Compilers for Embedded Systems;CORE2020;A;Distributed computing and systems software
LPAR;Logic Programming and Automated Reasoning;CORE2020;A;Theory of computation
LPNMR;International Conference on Logic Programming and Non-monotonic Reasoning;CORE2020;A;Artificial intelligence
MASCOTS;Symposium Model Analysis and Simulation of Computer and Telecommunications Systems;CORE2020;A;Distributed computing and systems software
MFCS;International Symposium on Mathematical Foundations of Computer Science;CORE2020;A;Theory of computation
MICCAI;Medical Image Computing and Computer-Assisted Intervention;CORE2020;A;Applied computing
MICRO;International Symposium on Microarchitecture;CORE2018;A;Applied computing
MOBIHOC;ACM Symposium on Mobile Ad Hoc Networking and Computing;CORE2020;A;Distributed computing and systems software
MODELS;International Conference on Model Driven Engineering Languages and Systems;CORE2020;A;Software engineering
MSR;IEEE International Working Conference on Mining Software Repositories;CORE2020;A;Software engineering
MSWIM;ACM/IEEE International Conference on Modelling, Analysis and Simulation of Wireless and Mobile Systems;CORE2020;A;Distributed computing and systems software
Middleware;ACM/IFIP/USENIX International Middleware Conference;CORE2020;A;Distributed computing and systems software
Mobiquitous;International Conference on Mobile and Ubiquitous Systems: Networks and Services;CORE2020;A;Distributed computing and systems software
NAACL;North American Association for Computational Linguistics;CORE2020;A;Artificial intelligence
NCA;IEEE International Symposium on Network Computing and Applications;CORE2020;A;Distributed computing and systems software
NOSSDAV;Network and Operating System Support for Digital Audio and Video;CORE2020;A;Distributed computing and systems software
Networking;IFIP International Conference on Networking;CORE2020;A;Distributed computing and systems software
PACT;International Conference on Parallel Architecture and Compilation Techniques;CORE2020;A;Distributed computing and systems software
PAKDD;Pacific-Asia Conference on Knowledge Discovery and Data Mining;CORE2020;A;Data management and data science
PERFORMANCE;IFIP International Symposium on Computing Performance, Modelling, Measurement and Evaluation;CORE2020;A;Software engineering
PG;Pacific Conference on Computer Graphics and Applications;CORE2020;A;Graphics, augmented reality and games
PPSN;Parallel Problem Solving from Nature;CORE2020;A;Machine learning
PPoPP;Principles and Practice of Parallel Programming;CORE2020;A;Distributed computing and systems software
RAID;The International Symposium on Research in Attacks, Intrusions and Defenses;CORE2020;A;Cybersecurity and privacy
RANDOM;International Workshop on Randomization and Computation;CORE2020;A;Theory of computation
RE;IEEE International Requirements Engineering Conference;CORE2020;A;Software engineering
RTAS;IEEE Real-Time and Embedded Technology and Applications Symposium;CORE2020;A;Distributed computing and systems software
SAS;Static Analysis Symposium;CORE2020;A;Software engineering
SAT;International Conference on Theory and Applications of Satisfiability Testing;CORE2020;A;Artificial intelligence
SC;International Conference for High Performance Computing, Networking, Storage and Analysis;CORE2020;A;Distributed computing and systems software
SCC;IEEE International Conference on Services Computing;CORE2020;A;Distributed computing and systems software
SCOPES;International Workshop on Software and Compilers for Embedded Systems;CORE2020;A;Distributed computing and systems software
SDM;SIAM International Conference on Data Mining;CORE2020;A;Data management and data science
SIGCSE;ACM Special Interest Group on Computer Science Education Conference;CORE2020;A;Human-centred computing
SPAA;Symposium on Parallelism in Algorithms and Architectures;CORE2020;A;Distributed computing and systems software
SRDS;Symposium on Reliable Distributed Systems;CORE2020;A;Distributed computing and systems software
SSDBM;International Conference on Scientific and Statistical Data Base Management;CORE2020;A;Data management and data science
SSPR;Structural and Syntactical Pattern Recognition;CORE2020;A;Computer vision and multimedia computation
SSTD;International Symposium on Spatial and Temporal Databases;CORE2020;A;Applied computing
STACS;International Symposium on Theoretical Aspects of Computer Science;CORE2020;A;Theory of computation
SoCG;International Symposium on Computational Geometry;CORE2020;A;Theory of computation
TABLEAUX;International Conference on Theorem Proving with Analytic Tableaux and Related Methods;CORE2020;A;Theory of computation
TACAS;Tools and Algorithms for Construction and Analysis of Systems;CORE2020;A;Software engineering
TARK;Theoretical Aspects of Rationality and Knowledge;CORE2020;A;Theory of computation
TCC;Theory of Cryptography Conference;CORE2020;A;Cybersecurity and privacy
TEI;Tangible, Embedded, and Embodied Interaction;CORE2020;A;Human-centred computing
TrustCom;International Conference on Trust, Security and Privacy in Computing and Communications;CORE2020;A;Cybersecurity and privacy
UIST;ACM Symposium on User Interface Software and Technology;CORE2020;A;Human-centred computing
USENIX;Usenix Annual Technical Conference;CORE2020;A;Distributed computing and systems software
USITS;Unix Symposium on Internet Technologies;CORE2020;A;Distributed computing and systems software
VEE;International Conference on Virtual Execution Environments;CORE2020;A;Distributed computing and systems software
VR;IEEE Conference on Virtual Reality and 3D User Interfaces;CORE2020;A;Graphics, augmented reality and games
VRST;ACM Virtual Reality Software and Technology;CORE2020;A;Graphics, augmented reality and games
WACV;IEEE Workshop on Applications of Computer Vision;CORE2020;A;Computer vision and multimedia computation
WG;International Workshop on Graph-Theoretic Concepts in Computer Science;CORE2020;A;Theory of computation
WISE;International Conference on Web Information Systems Engineering;CORE2020;A;Data management and data science
WoWMoM;IEEE International Symposium on a World of Wireless, Mobile and Multimedia Networks;CORE2020;A;Distributed computing and systems software
e-Science;IEEE International Conference on e-Science and Grid Computing;CORE2020;A;Distributed computing and systems software
ACCV;Asian Conference on Computer Vision;CORE2020;B;Computer vision and multimedia computation
ACE;ACM International Conference on Advances in Computer Entertainment;CORE2020;B;Graphics, augmented reality and games
ACIVS;Advanced Concepts for Intelligent Vision Systems;CORE2020;B;Computer vision and multimedia computation
ACNS;International Conference on Applied Cryptography and Network Security;CORE2020;B;Cybersecurity and privacy
ACSD;Application of Concurrency to System Design;CORE2020;B;Distributed computing and systems software
ADBIS;Symposium on Advances in DB and Information Systems;CORE2020;B;Data management and data science
ADHOC-NOW;International Conference on AD-HOC Networks and Wireless;CORE2020;B;Distributed computing and systems software
ADMA;International Conference on Advanced Data Mining and Applications;CORE2020;B;Data management and data science
ADMI;International Workshop on Agents and Data Mining Interaction;CORE2020;B;Artificial intelligence
AIME;Artificial Intelligence in Medicine in Europe;CORE2020;B;Applied computing
AINA;International Conference on Advanced Information Networking and Applications;CORE2020;B;Distributed computing and systems software
ALT;Algorithmic Learning Theory;CORE2020;B;Machine learning
AMTA;Conference of the Association for Machine Translation in the Americas;CORE2020;B;Artificial intelligence
ANALCO;Workshop on Analytic Algorithmics and Combinatorics;CORE2020;B;Theory of computation
